year,month,hemisphere,temp_k,temp_f,temp_c
1940,1,north,280.58155205937226,45.3767937068701,7.4315520593722795
1940,1,south,288.7295411446305,60.04317406033495,15.579541144630525
1940,2,north,281.41760054873544,46.881680987723826,8.267600548735459
1940,2,south,288.64248093296527,59.886465679337526,15.492480932965293
1940,3,north,283.38145332726083,50.416615989069534,10.231453327260851
1940,3,south,287.97656300916833,58.68781341650303,14.826563009168353
1940,4,north,286.90824095387626,56.76483371697731,13.758240953876282
1940,4,south,286.90552527917094,56.75994550250774,13.755525279170968
1940,5,north,289.9686581508487,62.27358467152767,16.818658150848705
1940,5,south,285.8133686103706,54.79406349866715,12.66336861037064
1940,6,north,292.6460231127245,67.09284160290413,19.496023112724515
1940,6,south,284.2653034423676,52.00754619626174,11.115303442367633
1940,7,north,294.0608451284838,69.63952123127083,20.9108451284838
1940,7,south,283.77558635606385,51.12605544091498,10.625586356063877
1940,8,north,293.90743282438126,69.36337908388631,20.757432824381283
1940,8,south,283.59550469521423,50.80190845138566,10.445504695214254
1940,9,north,292.0349474996717,65.99290549940913,18.88494749967174
1940,9,south,283.8704121146405,51.29674180635292,10.72041211464051
1940,10,north,288.66464028280694,59.926352509052535,15.514640282806965
1940,10,south,284.89348141194307,53.13826654149757,11.743481411943094
1940,11,north,284.9439170811973,53.22905074615518,11.793917081197321
1940,11,south,286.58179487229785,56.17723077013617,13.431794872297871
1940,12,north,282.24063240376023,48.36313832676846,9.090632403760253
1940,12,south,288.20366599279265,59.096598787026814,15.053665992792673
1941,1,north,280.8874028868626,45.927325196352754,7.73740288686264
1941,1,south,288.95197249114153,60.443550484054796,15.801972491141555
1941,2,north,281.8620401617215,47.681672291098735,8.712040161721518
1941,2,south,288.8260356716748,60.21686420901466,15.67603567167481
1941,3,north,283.57893625552646,50.772085259947666,10.42893625552648
1941,3,south,288.1218261036851,58.94928698663326,14.971826103685146
1941,4,north,286.7128036525669,56.413046574620445,13.562803652566913
1941,4,south,286.69697622128547,56.384557198313885,13.54697622128549
1941,5,north,289.962220934759,62.26199768256622,16.81222093475901
1941,5,south,285.637210159918,54.47697828785249,12.48721015991805
1941,6,north,292.7166127979453,67.21990303630156,19.56661279794531
1941,6,south,284.5459418605535,52.51269534899636,11.395941860553535
1941,7,north,294.0227744151336,69.57099394724051,20.87277441513362
1941,7,south,283.62694746479144,50.85850543662464,10.476947464791465
1941,8,north,293.8763475260598,69.30742554690771,20.72634752605984
1941,8,south,283.6753990584507,50.94571830521129,10.525399058450716
1941,9,north,291.7182207607845,65.42279736941215,18.568220760784527
1941,9,south,283.74887104199263,51.07796787558677,10.598871041992652
1941,10,north,288.78964381910407,60.15135887438737,15.639643819104094
1941,10,south,285.37937864078094,54.012881553405734,12.229378640780965
1941,11,north,284.74813798446473,52.87664837203656,11.598137984464756
1941,11,south,286.7277096644432,56.43987739599777,13.577709664443205
1941,12,north,282.005633452355,47.94014021423909,8.85563345235505
1941,12,south,288.256578586502,59.191841455703596,15.106578586501996
1942,1,north,281.1608970501402,46.41961469025239,8.010897050140215
1942,1,south,288.916911293633,60.38044032853945,15.76691129363303
1942,2,north,281.54372633445803,47.10870740202449,8.393726334458051
1942,2,south,288.63737020891074,59.87726637603937,15.487370208910761
1942,3,north,283.65712554027704,50.91282597249871,10.507125540277059
1942,3,south,288.0535142826559,58.82632570878066,14.90351428265592
1942,4,north,286.74870123769506,56.47766222785115,13.598701237695082
1942,4,south,286.66766458939037,56.331796260902706,13.517664589390392
1942,5,north,290.08932053701955,62.490776966635224,16.93932053701957
1942,5,south,285.5068742585342,54.2423736653616,12.35687425853422
1942,6,north,292.61535407300926,67.0376373314167,19.46535407300928
1942,6,south,284.2730837449177,52.0215507408519,11.123083744917722
1942,7,north,293.83287248201174,69.22917046762117,20.68287248201176
1942,7,south,283.4535023741245,50.546304273424184,10.303502374124548
1942,8,north,293.7050210614785,68.9990379106613,20.5550210614785
1942,8,south,283.2990053550492,50.26820963908858,10.149005355049212
1942,9,north,291.91892524993,65.78406544987403,18.76892524993002
1942,9,south,283.77351579236364,51.12232842625459,10.623515792363662
1942,10,north,288.8257793998959,60.21640291981267,15.67577939989593
1942,10,south,284.9155243401189,53.177943812214075,11.76552434011893
1942,11,north,284.87973039879984,53.11351471783975,11.729730398799859
1942,11,south,286.41535292766423,55.877635269795654,13.265352927664253
1942,12,north,282.1533013744704,48.205942474046765,9.003301374470425
1942,12,south,287.850955856033,58.46172054085946,14.700955856033033
1943,1,north,280.75479711741053,45.688634811339,7.6047971174105555
1943,1,south,288.81157387221504,60.190832969987106,15.661573872215058
1943,2,north,281.7691535288376,47.5144763519077,8.619153528837614
1943,2,south,288.6368462624848,59.876323272472725,15.486846262484846
1943,3,north,283.6630777531664,50.923539955699596,10.513077753166442
