year,month,region,temp_k,temp_f,temp_c
1940,1,arctic,249.00003267262247,-11.469941189279517,-24.14996732737751
1940,1,antarctic,258.9745511499737,6.484192069952712,-14.175448850026271
1940,2,arctic,248.2742558366943,-12.776339493950232,-24.875744163305683
1940,2,antarctic,253.43941146107196,-3.4790593700704378,-19.71058853892802
1940,3,arctic,249.527340369496,-10.520787334907183,-23.62265963050399
1940,3,antarctic,247.75776468782612,-13.706023561912936,-25.392235312173852
1940,4,arctic,259.26822441805876,7.012803952505816,-13.881775581941213
1940,4,antarctic,243.17678662519586,-21.951784074647414,-29.973213374804118
1940,5,arctic,267.87332673791747,22.50198812825148,-5.276673262082511
1940,5,antarctic,243.0581205307561,-22.165383044638972,-30.091879469243878
1940,6,arctic,274.91392939837084,35.17507291706755,1.7639293983708626
1940,6,antarctic,238.04631066958237,-31.186640794751703,-35.10368933041761
1940,7,arctic,276.5132165295978,38.05378975327608,3.363216529597821
1940,7,antarctic,239.09816990925393,-29.2932941633429,-34.05183009074605
1940,8,arctic,275.278756263897,35.83176127501461,2.128756263897003
1940,8,antarctic,238.39065092877078,-30.566828328212544,-34.759349071229195
1940,9,arctic,270.47778364710075,27.190010564781392,-2.672216352899227
1940,9,antarctic,239.0926883104515,-29.303161041187238,-34.05731168954847
1940,10,arctic,261.78656106656933,11.54580991982484,-11.363438933430643
1940,10,antarctic,242.9309305667868,-22.39432497978372,-30.21906943321318
1940,11,arctic,253.74361179117565,-2.9314987758837816,-19.406388208824325
1940,11,antarctic,251.43218885670163,-7.092060057937026,-21.71781114329835
1940,12,arctic,249.5972396056676,-10.394968709798285,-23.55276039433238
1940,12,antarctic,258.14869975758523,4.997659563653464,-15.001300242414743
1941,1,arctic,246.29197425619975,-16.344446338840406,-26.858025743800226
1941,1,antarctic,258.21304412139233,5.113479418506234,-14.936955878607648
1941,2,arctic,247.9316865043784,-13.392964292118833,-25.218313495621572
1941,2,antarctic,253.3967348885711,-3.5558772005719703,-19.753265111428874
1941,3,arctic,248.63930655295982,-12.119248204672274,-24.510693447040154
1941,3,antarctic,248.72726274239224,-11.960927063693923,-24.422737257607736
1941,4,arctic,256.4087662783327,1.8657793009988595,-16.7412337216673
1941,4,antarctic,241.94200820696156,-24.17438522746916,-31.207991793038417
1941,5,arctic,267.04492017515116,21.010856315272132,-6.105079824848815
1941,5,antarctic,242.88472154599052,-22.47750121721704,-30.26527845400946
1941,6,arctic,274.6688285398679,34.73389137176224,1.5188285398679113
1941,6,antarctic,241.48146273687445,-25.003367073625952,-31.66853726312553
1941,7,arctic,276.841259163456,38.64426649422087,3.6912591634560386
1941,7,antarctic,240.16429318653746,-27.374272264232523,-32.985706813462514
1941,8,arctic,274.9864983075459,35.30569695358266,1.8364983075459236
1941,8,antarctic,239.41497805550785,-28.72303950008584,-33.73502194449213
1941,9,arctic,269.6262776594795,25.657299787063163,-3.5237223405204645
1941,9,antarctic,238.57537794027695,-30.23431970750145,-34.574622059723026
1941,10,arctic,262.2214847294789,12.328672513062067,-10.928515270521075
1941,10,antarctic,246.6231301793827,-15.748365677111074,-26.526869820617264
1941,11,arctic,252.75598039596323,-4.709235287266139,-20.394019604036743
1941,11,antarctic,252.52419508180148,-5.126448852757292,-20.625804918198497
1941,12,arctic,249.0122911215562,-11.44787598119882,-24.13770887844379
1941,12,antarctic,258.8729902406906,6.30138243324317,-14.277009759309351
1942,1,arctic,251.4142494246467,-7.124351035635904,-21.73575057535328
1942,1,antarctic,258.7558411091429,6.090513996457297,-14.394158890857057
1942,2,arctic,248.35430278698695,-12.63225498342345,-24.795697213013028
1942,2,antarctic,253.98602846365458,-2.4951487654217175,-19.1639715363454
1942,3,arctic,248.43822262910496,-12.48119926761104,-24.71177737089502
1942,3,antarctic,248.26994430298024,-12.784100254635533,-24.880055697019742
1942,4,arctic,256.9168451208207,2.7803212174773186,-16.233154879179267
1942,4,antarctic,243.04764857521207,-22.18423256461824,-30.102351424787912
1942,5,arctic,267.9269291813197,22.598472526375463,-5.2230708186802985
1942,5,antarctic,241.51388109004571,-24.945014037917666,-31.636118909954263
1942,6,arctic,274.8352257060508,35.03340627089144,1.685225706050801
1942,6,antarctic,239.7369470847042,-28.143495247532385,-33.413052915295765
1942,7,arctic,276.40087656083216,37.851577809497925,3.2508765608321823
1942,7,antarctic,239.0382926872867,-29.401073162883883,-34.111707312713264
1942,8,arctic,274.9584593695692,35.2552268652246,1.8084593695692206
1942,8,antarctic,237.75179927986804,-31.716761296237493,-35.39820072013194
1942,9,arctic,270.5135347809098,27.25436260563772,-2.636465219090155
1942,9,antarctic,238.6981723669787,-30.0132897394383,-34.45182763302128
1942,10,arctic,262.49388726398473,12.818997075172557,-10.656112736015245
1942,10,antarctic,244.45220863875588,-19.65602445023937,-28.6977913612441
1942,11,arctic,252.7911258905087,-4.645973397084283,-20.358874109491268
1942,11,antarctic,252.1212342022801,-5.851778435895767,-21.02876579771987
1942,12,arctic,250.1266167283063,-9.442089889048638,-23.02338327169369
1942,12,antarctic,257.5055854019034,3.8400537234261165,-15.644414598096603
1943,1,arctic,247.2148634793403,-14.683245737187427,-25.935136520659682
1943,1,antarctic,259.68803461481735,7.768462306671278,-13.461965385182623
1943,2,arctic,247.62980828974364,-13.936345078461414,-25.52019171025634
1943,2,antarctic,255.56340993412823,0.3441378814308571,-17.586590065871746
1943,3,arctic,251.232434904387,-7.451617172103376,-21.917565095612986
1943,3,antarctic,249.17058793699286,-11.162941713412813,-23.979412063007118
1943,4,arctic,259.9177383461708,8.181929023107443,-13.232261653829198
