year,region,temp_k,temp_f,temp_c
1940,arctic,261.354523194764,10.76814175057524,-11.795476805235978
1940,antarctic,246.12885612116298,-16.63805898190659,-27.021143878836995
1941,arctic,260.5357728070308,9.294391052655499,-12.614227192969167
1941,antarctic,246.90168324386494,-15.246970161043073,-26.24831675613504
1942,arctic,261.2641896202534,10.605541316456119,-11.885810379746601
1942,antarctic,246.23979860023437,-16.4383625195781,-26.91020139976561
1943,arctic,261.45803320707483,10.954459772734744,-11.691966792925143
1943,antarctic,246.66363001611077,-15.67546597100057,-26.486369983889205
1944,arctic,261.84359915945765,11.648478487023816,-11.306400840542324
1944,antarctic,246.83178778795343,-15.372781981683787,-26.318212212046546
1945,arctic,261.0930996991592,10.29757945848662,-12.056900300840766
1945,antarctic,247.3151744740602,-14.5026859466916,-25.834825525939777
1946,arctic,260.62715586550587,9.458880557910607,-12.522844134494107
1946,antarctic,246.93333365903544,-15.189999413736167,-26.216666340964537
1947,arctic,261.8223587072998,11.61024567313973,-11.32764129270015
1947,antarctic,247.00220083326883,-15.066038500116065,-26.147799166731147
1948,arctic,260.3802491250347,9.014448425062518,-12.769750874965268
1948,antarctic,246.56827225086712,-15.847109948439133,-26.581727749132853
1949,arctic,260.99965912823507,10.12938643082316,-12.15034087176491
1949,antarctic,247.24994006567115,-14.620107881791881,-25.900059934328823
1950,arctic,260.8022452431887,9.774041437739662,-12.347754756811298
1950,antarctic,246.6592082779009,-15.683425099778361,-26.49079172209909
1951,arctic,260.5427903568069,9.30702264225247,-12.607209643193073
1951,antarctic,246.3376999843975,-16.26214002808448,-26.81230001560249
1952,arctic,260.8657722470608,9.888390044709514,-12.28422775293916
1952,antarctic,245.84564900055784,-17.147831798995846,-27.304350999442136
1953,arctic,261.2451294820923,10.571233067766173,-11.904870517907682
1953,antarctic,246.43029576136252,-16.09546762954743,-26.719704238637462
1954,arctic,261.4859070930122,11.004632767422002,-11.664092906987776
1954,antarctic,245.96935808538362,-16.925155446309446,-27.18064191461636
1955,arctic,260.2889854243756,8.850173763876114,-12.861014575624381
1955,antarctic,246.81610892714517,-15.40100393113866,-26.33389107285481
1956,arctic,261.0535288519741,10.226351933553381,-12.096471148025898
1956,antarctic,247.06065322104672,-14.960824202115859,-26.089346778953256
1957,arctic,260.6982588948015,9.586866010642712,-12.451741105198494
1957,antarctic,246.95447319714236,-15.151948245143707,-26.195526802857614
1958,arctic,260.3868545445486,9.026338180187544,-12.763145455451365
1958,antarctic,246.41782644439397,-16.117912400090816,-26.73217355560601
1959,arctic,261.3990929044631,10.848367228033602,-11.750907095536888
1959,antarctic,246.80265138819587,-15.425227501247392,-26.347348611804108
1960,arctic,261.1444427350401,10.38999692307225,-12.005557264959862
1960,antarctic,246.22733464039496,-16.460797647289034,-26.92266535960502
1961,arctic,260.49607550984473,9.222935917720555,-12.653924490155248
1961,antarctic,246.9946351375103,-15.07965675248142,-26.155364862489677
1962,arctic,260.96318879719735,10.063739834955264,-12.18681120280263
1962,antarctic,246.45704510752913,-16.047318806447535,-26.69295489247085
1963,arctic,260.4274123266909,9.099342188043657,-12.722587673309079
1963,antarctic,246.95527217560152,-15.150510083917219,-26.194727824398456
1964,arctic,260.18199434633044,8.657589823394837,-12.968005653669536
1964,antarctic,246.6867774645527,-15.633800563805089,-26.463222535447272
1965,arctic,260.66667632315426,9.530017381677716,-12.483323676845714
1965,antarctic,247.0221282130102,-15.03016921658159,-26.127871786989772
1966,arctic,260.04044327919996,8.402797902559975,-13.109556720800015
1966,antarctic,247.22540342605942,-14.664273833093013,-25.924596573940562
1967,arctic,261.1491306643004,10.398435195740763,-12.000869335699576
1967,antarctic,247.04436489391972,-14.990143190944465,-26.105635106080257
1968,arctic,260.52054209685787,9.2669757743442,-12.62945790314211
1968,antarctic,246.81676472476323,-15.39982349542614,-26.333235275236746
1969,arctic,261.0296177239987,10.18331190319767,-12.120382276001294
1969,antarctic,246.83600896811797,-15.36518385738762,-26.31399103188201
1970,arctic,260.83077261296995,9.825390703345953,-12.319227387030026
1970,antarctic,247.16934666484013,-14.76517600328772,-25.980653335159843
1971,arctic,260.8753627448961,9.905652940813034,-12.274637255103869
1971,antarctic,247.32830625148628,-14.479048747324654,-25.821693748513695
1972,arctic,260.9274381581454,9.99938868466172,-12.2225618418546
1972,antarctic,247.7078436444139,-13.795881440054913,-25.442156355586064
1973,arctic,261.25248686756674,10.584476361620183,-11.897513132433232
1973,antarctic,247.1219128871428,-14.850556803142922,-26.02808711285718
1974,arctic,261.13219761271733,10.367955702891244,-12.017802387282643
1974,antarctic,246.91696847644343,-15.219456742401789,-26.233031523556548
1975,arctic,260.92349322875253,9.9922878117546,-12.226506771247443
1975,antarctic,246.35581633404445,-16.229530598719954,-26.79418366595553
